------------------------------------------------------ 1000 random configurations ---------------------------------------------------
			 rotation matrix 00-22						|		transition xyz	
-------------------------------------------------------------------------------------------------------------------------------------
0.104451 -0.57981 -0.808029 0.521314 0.723828 -0.452002 0.846949 -0.374024 0.377867 	|	-0.250724 -0.807277 0.288317 
-0.496936 -0.446949 -0.743836 -0.50024 -0.552874 0.666401 -0.709095 0.703255 0.0511616 	|	0.0326957 0.537707 0.73852 
0.67223 0.102184 -0.733257 -0.183029 -0.936747 -0.298338 -0.717361 0.334759 -0.611007 	|	-0.503703 -0.231874 0.691485 
0.500367 0.0315888 -0.865237 -0.798237 -0.370221 -0.475136 -0.335338 0.928406 -0.160031 	|	-0.0655104 -0.329893 0.220182 
-0.510817 -0.611774 0.603985 0.557909 0.298617 0.774316 -0.654067 0.732503 0.188775 	|	0.173057 -0.077559 0.983439 
0.601826 -0.733429 -0.31605 -0.733971 -0.351962 -0.580869 0.314789 0.581554 -0.750135 	|	-0.0524358 -0.543327 0.180737 
0.312714 -0.949813 0.00808794 -0.0846219 -0.0193775 0.996225 -0.94607 -0.312217 -0.0864346 	|	0.661252 0.596458 0.678158 
0.205977 0.541328 -0.815192 0.410182 0.708575 0.574171 0.888439 -0.452643 -0.0760931 	|	-0.493558 0.322772 0.596942 
-0.955935 0.274908 -0.103022 -0.127336 -0.0720665 0.989238 0.264525 0.958766 0.103897 	|	-0.0824507 0.728332 0.366883 
-0.351176 -0.245753 -0.903482 0.606927 -0.794511 -0.0197952 -0.712962 -0.5553 0.428168 	|	-0.261252 0.776846 0.206671 
0.036407 -0.792065 0.60935 0.888098 0.305224 0.343685 -0.458209 0.52865 0.714544 	|	0.473021 0.462441 1.10537 
-0.688881 0.512139 0.512988 -0.35864 -0.85581 0.372783 0.629937 0.0728253 0.773224 	|	0.364748 0.217961 1.19927 
0.00452634 0.0330657 0.999443 -0.527016 -0.849308 0.0304854 0.849843 -0.526861 0.0135819 	|	0.999337 -0.38068 0.531269 
0.919506 0.293363 -0.261625 0.102145 0.464387 0.879722 0.379573 -0.835633 0.397041 	|	0.180539 0.557998 0.966639 
-0.898781 0.155008 -0.410079 -0.406162 -0.646479 0.645831 -0.164999 0.747019 0.644002 	|	-0.248624 0.657463 0.896751 
-0.168077 0.56411 -0.808412 -0.49493 -0.757515 -0.425694 -0.852522 0.328558 0.406516 	|	-0.0352681 -0.668757 0.848627 
0.0605053 -0.206059 0.976667 0.253004 -0.943341 -0.214702 0.965571 0.260091 -0.00494341 	|	0.829089 -0.0223705 0.618577 
0.947605 -0.208918 0.241656 -0.304483 -0.361915 0.881083 -0.0966153 -0.908499 -0.406564 	|	0.537308 0.326403 -0.197592 
-0.611893 0.0395807 0.78995 -0.265698 0.930422 -0.252428 -0.744978 -0.364347 -0.558802 	|	0.783518 -0.432521 -0.371747 
0.994602 0.0864905 -0.0573211 0.0036639 -0.581365 -0.813635 -0.103696 0.809033 -0.578544 	|	0.41875 -0.515394 0.0203748 
